Customer_ID,Age_first,Purchase_Amount_mean,Purchase_Amount_std,Purchase_Amount_count,Rating_mean,Rating_Std,Purchase_Date_min,Purchase_Date_max,Preferred_Payment,Discount_Sensitivity,first_purchase,last_purchase,tenure_days,purchase_frequency,recency_days,total_spent,CLV
10001,69,72.50727816,73.04286582195007,2,3.5,0.7071067811865476,2020-03-07 14:00:00,2020-03-11 15:00:00,Credit Card,0.0,2020-03-07 14:00:00,2020-03-11 15:00:00,4,15.0,1972,145.01455632,13051.310068800001
10004,40,257.54550919999997,,1,2.0,,2020-01-16 18:00:00,2020-01-16 18:00:00,Cash,0.0,2020-01-16 18:00:00,2020-01-16 18:00:00,1,30.0,2026,257.54550919999997,92716.38331199999
10005,32,453.1684177,,1,4.0,,2020-02-05 22:00:00,2020-02-05 22:00:00,Cash,0.0,2020-02-05 22:00:00,2020-02-05 22:00:00,1,30.0,2006,453.1684177,163140.630372
10009,66,240.49570731666665,185.83890755911122,3,2.3333333333333335,1.1547005383792515,2020-01-28 08:00:00,2020-03-20 21:00:00,Bank Transfer,0.6666666666666666,2020-01-28 08:00:00,2020-03-20 21:00:00,52,1.7307692307692306,1962,721.48712195,4994.9108442692295
10011,43,89.68786519,,1,2.0,,2020-03-18 11:00:00,2020-03-18 11:00:00,Bank Transfer,0.0,2020-03-18 11:00:00,2020-03-18 11:00:00,1,30.0,1965,89.68786519,32287.631468400003
10013,62,159.9429916,,1,5.0,,2020-03-11 21:00:00,2020-03-11 21:00:00,Bank Transfer,0.0,2020-03-11 21:00:00,2020-03-11 21:00:00,1,30.0,1971,159.9429916,57579.476976000005
10021,36,193.8681549,,1,4.0,,2020-03-09 02:00:00,2020-03-09 02:00:00,PayPal,0.0,2020-03-09 02:00:00,2020-03-09 02:00:00,1,30.0,1974,193.8681549,69792.535764
10038,51,323.3813749,,1,3.0,,2020-03-03 22:00:00,2020-03-03 22:00:00,Cash,0.0,2020-03-03 22:00:00,2020-03-03 22:00:00,1,30.0,1979,323.3813749,116417.294964
10054,22,304.1071194,,1,1.0,,2020-02-15 22:00:00,2020-02-15 22:00:00,PayPal,1.0,2020-02-15 22:00:00,2020-02-15 22:00:00,1,30.0,1996,304.1071194,109478.562984
10055,23,267.3001751,,1,5.0,,2020-02-03 02:00:00,2020-02-03 02:00:00,Cash,0.0,2020-02-03 02:00:00,2020-02-03 02:00:00,1,30.0,2009,267.3001751,96228.06303599999
10060,22,62.9985726,,1,4.0,,2020-02-21 12:00:00,2020-02-21 12:00:00,PayPal,1.0,2020-02-21 12:00:00,2020-02-21 12:00:00,1,30.0,1991,62.9985726,22679.486136
10064,68,281.2301338,,1,1.0,,2020-01-04 14:00:00,2020-01-04 14:00:00,Cash,0.0,2020-01-04 14:00:00,2020-01-04 14:00:00,1,30.0,2039,281.2301338,101242.848168
10072,43,423.75875,,1,4.0,,2020-03-23 00:00:00,2020-03-23 00:00:00,Bank Transfer,0.0,2020-03-23 00:00:00,2020-03-23 00:00:00,1,30.0,1960,423.75875,152553.15000000002
10074,27,182.0604084,,1,2.0,,2020-02-18 21:00:00,2020-02-18 21:00:00,Cash,1.0,2020-02-18 21:00:00,2020-02-18 21:00:00,1,30.0,1993,182.0604084,65541.747024
10077,62,35.65089574,,1,5.0,,2020-02-08 18:00:00,2020-02-08 18:00:00,Bank Transfer,0.0,2020-02-08 18:00:00,2020-02-08 18:00:00,1,30.0,2003,35.65089574,12834.3224664
10089,25,90.47812294,,1,1.0,,2020-03-07 22:00:00,2020-03-07 22:00:00,Bank Transfer,0.0,2020-03-07 22:00:00,2020-03-07 22:00:00,1,30.0,1975,90.47812294,32572.1242584
10094,34,379.9395792,,1,2.0,,2020-02-11 02:00:00,2020-02-11 02:00:00,Credit Card,0.0,2020-02-11 02:00:00,2020-02-11 02:00:00,1,30.0,2001,379.9395792,136778.24851200002
10098,55,350.0561331,,1,3.0,,2020-01-11 19:00:00,2020-01-11 19:00:00,Credit Card,0.0,2020-01-11 19:00:00,2020-01-11 19:00:00,1,30.0,2031,350.0561331,126020.20791600001
10105,65,313.55253104999997,241.37148814158064,2,3.5,0.7071067811865476,2020-03-08 01:00:00,2020-03-19 14:00:00,Bank Transfer,0.0,2020-03-08 01:00:00,2020-03-19 14:00:00,11,5.454545454545455,1964,627.1050620999999,20523.438395999998
10116,46,223.140297,,1,5.0,,2020-03-06 08:00:00,2020-03-06 08:00:00,Cash,1.0,2020-03-06 08:00:00,2020-03-06 08:00:00,1,30.0,1977,223.140297,80330.50692
